action,time,count,
Downgrade, 2017-09-30 16:02:11.378972, 149,
Downgrade, 2017-09-30 16:02:06.408697, 156,
Downgrade, 2017-09-30 16:02:01.447628, 161,
Downgrade, 2017-09-30 16:01:56.206862, 75,
Downgrade, 2017-09-30 16:01:51.376051, 183,
Downgrade, 2017-09-30 16:01:46.370367, 179,
Downgrade, 2017-09-30 16:01:41.338004, 163,
Downgrade, 2017-09-30 16:01:36.331707, 146,
Downgrade, 2017-09-30 16:01:31.307312, 130,
Downgrade, 2017-09-30 16:01:26.272811, 126,
Downgrade, 2017-09-30 16:01:21.293808, 156,
Downgrade, 2017-09-30 16:01:16.347966, 163,
Downgrade, 2017-09-30 16:01:11.355165, 207,
Downgrade, 2017-09-30 16:01:06.354398, 155,
Downgrade, 2017-09-30 16:01:01.318436, 158,
Downgrade, 2017-09-30 16:00:56.351067, 146,
Downgrade, 2017-09-30 16:00:51.419289, 125,
Downgrade, 2017-09-30 16:00:46.285419, 134,
Downgrade, 2017-09-30 16:00:41.360405, 148,
Downgrade, 2017-09-30 16:00:36.303229, 180,
Downgrade, 2017-09-30 16:00:31.334213, 145,
Downgrade, 2017-09-30 16:00:26.491459, 166,
Downgrade, 2017-09-30 16:00:21.323044, 157,
Downgrade, 2017-09-30 16:00:16.412237, 145,
Downgrade, 2017-09-30 16:00:11.339674, 174,
Downgrade, 2017-09-30 16:00:06.367407, 124,
Downgrade, 2017-09-30 16:00:01.355464, 158,
Downgrade, 2017-09-30 15:59:56.307628, 143,
Downgrade, 2017-09-30 15:59:51.417483, 116,
Downgrade, 2017-09-30 15:59:46.286543, 104,
Downgrade, 2017-09-30 15:59:41.379258, 112,
Downgrade, 2017-09-30 15:59:36.437713, 147,
Downgrade, 2017-09-30 15:59:31.317902, 152,
Downgrade, 2017-09-30 15:59:26.467896, 133,
Downgrade, 2017-09-30 15:59:21.367410, 176,
Downgrade, 2017-09-30 15:59:16.639729, 204,
Downgrade, 2017-09-30 15:59:11.453107, 201,
Downgrade, 2017-09-30 15:59:06.444552, 206,
Downgrade, 2017-09-30 15:59:01.384701, 217,
Downgrade, 2017-09-30 15:58:56.382600, 183,
Downgrade, 2017-09-30 15:58:51.391044, 155,
Downgrade, 2017-09-30 15:58:46.403236, 150,
Downgrade, 2017-09-30 15:58:41.493223, 161,
Downgrade, 2017-09-30 15:58:36.336043, 179,
Downgrade, 2017-09-30 15:58:31.365656, 202,
Downgrade, 2017-09-30 15:58:26.359496, 186,
Downgrade, 2017-09-30 15:58:21.272663, 130,
Downgrade, 2017-09-30 15:58:16.508147, 137,
Downgrade, 2017-09-30 15:58:11.368626, 156,
Downgrade, 2017-09-30 15:58:06.399842, 171,
Downgrade, 2017-09-30 15:58:01.483667, 166,
Downgrade, 2017-09-30 15:57:56.532500, 182,
Downgrade, 2017-09-30 15:57:51.484169, 176,
Downgrade, 2017-09-30 15:57:46.459706, 155,
Downgrade, 2017-09-30 15:57:41.468077, 166,
Downgrade, 2017-09-30 15:57:36.375127, 157,
Downgrade, 2017-09-30 15:57:31.414547, 141,
Downgrade, 2017-09-30 15:57:26.386053, 182,
Downgrade, 2017-09-30 15:57:21.496475, 137,
Downgrade, 2017-09-30 15:57:16.507151, 188,
Downgrade, 2017-09-30 15:57:11.525820, 152,
Downgrade, 2017-09-30 15:57:06.407494, 155,
Downgrade, 2017-09-30 15:57:01.534676, 186,
Downgrade, 2017-09-30 15:56:56.583179, 172,
Downgrade, 2017-09-30 15:56:51.522819, 138,
Downgrade, 2017-09-30 15:56:46.571485, 153,
Downgrade, 2017-09-30 15:56:41.827569, 135,
Downgrade, 2017-09-30 15:56:36.574829, 111,
Downgrade, 2017-09-30 15:56:31.686208, 126,
Downgrade, 2017-09-30 15:56:26.596662, 158,
Downgrade, 2017-09-30 15:56:21.624808, 141,
Downgrade, 2017-09-30 15:56:16.651947, 160,
Downgrade, 2017-09-30 15:56:11.876564, 135,
Downgrade, 2017-09-30 15:56:06.546659, 139,
Downgrade, 2017-09-30 15:56:02.570079, 86,
Downgrade, 2017-09-30 15:55:58.730988, 100,
Downgrade, 2017-09-30 15:55:56.756213, 117,
Downgrade, 2017-09-30 15:55:54.287194, 68,
